title,doi,author,affiliation
Boosting Deep Vector Quantization with Progressive Distribution Transformation,https://doi.org/10.1145/3711896.3736863,"['Weikang Wang', 'Xin Zhou', 'Jun Liu', 'Weifeng Zhang', 'Huan Yan']","['Intelligent Computing Infrastructure Lab, Lenovo Research', 'Intelligent Computing Infrastructure Lab, Lenovo Research', 'Intelligent Computing Infrastructure Lab, Lenovo Research', 'Intelligent Computing Infrastructure Lab, Lenovo Research', 'Intelligent Computing Infrastructure Lab, Lenovo Research']"
Boosting E-commerce Content Diversity: A Graph-based RAG Approach with User Reviews,https://doi.org/10.1145/3711896.3736864,"['Jiaxi Yang', 'Yiling Jia', 'Carl Yang', 'Yi Liang', 'Lu Lin']","['College of Information Sciences and Technology, Pennsylvania State University', 'DeepMind, Google', 'Department of Computer Science, Emory University', 'DeepMind, Google', 'College of Information Sciences and Technology, Pennsylvania State University']"
Breaking the Bottleneck: User-Specific Optimization and Real-Time Inference Integration for Sequential Recommendation,https://doi.org/10.1145/3711896.3736865,"['Wenjia Xie', 'Hao Wang', 'Minghao Fang', 'ruize yu', 'Wei Guo', 'Yong Liu', 'Defu Lian', 'Enhong Chen']","['University of Science and Technology of China, State Key Laboratory of Cognitive Intelligence', 'University of Science and Technology of China, State Key Laboratory of Cognitive Intelligence', 'University of Science and Technology of China, State Key Laboratory of Cognitive Intelligence', 'University of Science and Technology of China, State Key Laboratory of Cognitive Intelligence', 'Huawei Noah’s Ark Lab', 'Huawei Noah’s Ark Lab', 'University of Science and Technology of China, State Key Laboratory of Cognitive Intelligence', 'University of Science and Technology of China, State Key Laboratory of Cognitive Intelligence']"
Breaking the Top-$K$ Barrier: Advancing Top-$K$ Ranking Metrics Optimization in Recommender Systems,https://doi.org/10.1145/3711896.3736866,"['Weiqin Yang', 'Jiawei Chen', 'Shengjia Zhang', 'Peng Wu', 'Yuegang Sun', 'Yan Feng', 'Chun Chen', 'Can Wang']","['Zhejiang University', 'Zhejiang University', 'Zhejiang University', 'Beijing Technology and Business University', 'Intelligence Indeed', 'Zhejiang University', 'Zhejiang University', 'Zhejiang University']"
Breeding-aware Revenue Maximization for NFT Viral Marketing on Social Networks,https://doi.org/10.1145/3711896.3736867,"['Ya-Wen Teng', 'De-Nian Yang', 'Yishuo Shi', 'Guang-Siang Lee', 'Wang-Chien Lee', 'Philip S. Yu', 'Ming-syan Chen']","['Institute of Information Science, Academia Sinica', 'Institute of Information Science, Academia Sinica', 'Statistics and Information Science, Wenzhou University', 'Research Center for Information Technology Innovation, Academia Sinica', 'The Pennsylvania State University', 'The University of Illinois Chicago', 'Electrical Engineering, National Taiwan University']"
Breiman meets Bellman: Non-Greedy Decision Trees with MDPs,https://doi.org/10.1145/3711896.3736868,"['Hector Kohler', 'Riad Akrour', 'Philippe Preux']","['UMR 9189 – CRIStAL, Université de Lille,CNRS, Inria, Centrale Lille', 'UMR 9189 – CRIStAL, Université de Lille,Inria, CNRS, Centrale Lille', 'UMR 9189 – CRIStAL, Université de Lille,CNRS, Inria, Centrale Lille']"
Bridging Textual-Collaborative Gap through Semantic Codes for Sequential Recommendation,https://doi.org/10.1145/3711896.3736869,"['Enze Liu', 'Bowen Zheng', 'Wayne Xin Zhao', 'Ji-Rong Wen']","['Gaoling School of Artificial Intelligence, Renmin University of China', 'Gaoling School of Artificial Intelligence, Renmin University of China', 'Gaoling School of Artificial Intelligence, Renmin University of China', 'Gaoling School of Artificial Intelligence, Renmin University of China']"
Bypassing Skip-Gram Negative Sampling: Dimension Regularization as a More Efficient Alternative for Graph Embeddings,https://doi.org/10.1145/3711896.3736870,"['David Liu', 'Arjun Seshadri', 'Tina Eliassi-Rad', 'Johan Ugander']","['Khoury College of Computer Sciences, Northeastern University', 'AWS, Amazon', 'Khoury College of Computer Sciences & Network Science Institute, Northeastern University', 'Management Science & Engineering, Stanford University']"
Calibrating Pre-trained Language Classifiers on LLM-generated Noisy Labels via Iterative Refinement,https://doi.org/10.1145/3711896.3736871,"['Liqin Ye', 'Agam Shah', 'Chao Zhang', 'Sudheer Chava']","['School of Computational Science & Engineering, Georgia Institute of Technology', 'School of Computational Science & Engineering, Georgia Institute of Technology', 'School of Computational Science & Engineering, Georgia Institute of Technology', 'Scheller College of Business, Georgia Institute of Technology']"
CAMEF: Causal-Augmented Multi-Modality Event-Driven Financial Forecasting by Integrating Time Series Patterns and Salient,N/A,N/A,N/A
CAMEF: Causal-Augmented Multi-Modality Event-Driven Financial Forecasting by Integrating Time Series Patterns and Salient Macroeconomic Announcements,https://doi.org/10.1145/3711896.3736872,"['Yang Zhang', 'Wenbo Yang', 'Jun Wang', 'Qiang Ma', 'Jie Xiong']","['Southwestern University of Finance and Economics', 'Southwestern University of Finance and Economics', 'Southwestern University of Finance and Economics', 'Kyoto Institute of Technology', 'Southwestern University of Finance and Economics']"
Causal-aware Graph Neural Architecture Search under Distribution Shifts,https://doi.org/10.1145/3711896.3736873,"['Peiwen Li', 'Xin Wang', 'Zeyang Zhang', 'Ziwei Zhang', 'Fang Shen', 'Jialong Wang', 'Yang Li', 'Wenwu Zhu']","['Shenzhen International Graduate School, Tsinghua University', 'Department of Computer Science and Technology, Beijing National Research Center for Information Science and Technology, Tsinghua University', 'Department of Computer Science and Technology, Tsinghua University', 'Department of Computer Science and Technology, Tsinghua University', 'Alibaba Cloud', 'Alibaba Cloud', 'Shenzhen International Graduate School, Tsinghua University', 'Department of Computer Science and Technology, Beijing National Research Center for Information Science and Technology, Tsinghua University']"
